epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5416,1.31215,1.84742,1.67643,0.56713,0.59275,0.60337,0.32396,1.66101,2.34709,2.24556,0.000551962,0.000551962,0.000551962
2,39.6726,1.33827,1.41661,1.68549,0.69633,0.64618,0.69007,0.38915,1.70773,1.62276,2.11808,0.00108022,0.00108022,0.00108022
3,58.5658,1.35234,1.37823,1.67159,0.56827,0.42198,0.43517,0.21751,2.07403,2.65448,2.54368,0.00158096,0.00158096,0.00158096
4,77.1423,1.28941,1.28402,1.62953,0.7853,0.7574,0.82599,0.48892,1.47153,1.10745,1.70612,0.00154323,0.00154323,0.00154323
5,95.8705,1.20511,1.15173,1.55383,0.81564,0.75536,0.83839,0.55865,1.26785,1.01136,1.50926,0.00150197,0.00150197,0.00150197
6,114.844,1.16495,1.09101,1.51843,0.83492,0.80093,0.89373,0.55538,1.4133,0.89621,1.62788,0.00146071,0.00146071,0.00146071
7,133.437,1.10351,1.00848,1.45944,0.94476,0.91192,0.96876,0.66721,1.10752,0.71318,1.39068,0.00141945,0.00141945,0.00141945
8,152.398,1.06618,0.94664,1.429,0.91526,0.8895,0.96116,0.68769,1.05045,0.67568,1.3231,0.00137819,0.00137819,0.00137819
9,171.044,1.0408,0.9177,1.41356,0.9282,0.9204,0.9661,0.69002,1.05257,0.61745,1.29514,0.00133693,0.00133693,0.00133693
10,189.729,0.99032,0.85773,1.37023,0.85705,0.88543,0.90833,0.66882,1.00219,0.77169,1.27909,0.00129568,0.00129568,0.00129568
11,208.336,0.95561,0.83069,1.35918,0.90713,0.91943,0.95478,0.73523,0.86005,0.62987,1.18797,0.00125442,0.00125442,0.00125442
12,227.607,0.95199,0.83151,1.35204,0.90891,0.90971,0.95817,0.71672,0.95923,0.60954,1.21679,0.00121316,0.00121316,0.00121316
13,246.332,0.91734,0.78673,1.32588,0.92249,0.95597,0.97403,0.7689,0.80403,0.51669,1.13089,0.0011719,0.0011719,0.0011719
14,265.724,0.89761,0.75443,1.30272,0.93066,0.96344,0.98076,0.76323,0.86805,0.50783,1.17522,0.00113064,0.00113064,0.00113064
15,284.303,0.87945,0.73867,1.2895,0.94754,0.9602,0.97784,0.78581,0.80432,0.47843,1.11733,0.00108938,0.00108938,0.00108938
16,302.99,0.83888,0.69622,1.26503,0.93947,0.96034,0.97924,0.78841,0.78579,0.47758,1.11796,0.00104813,0.00104813,0.00104813
17,321.666,0.85954,0.71271,1.27337,0.96083,0.95361,0.98172,0.78857,0.78797,0.47039,1.09943,0.00100687,0.00100687,0.00100687
18,340.355,0.8221,0.67414,1.24808,0.96749,0.95768,0.98537,0.81809,0.70109,0.43301,1.05168,0.00096561,0.00096561,0.00096561
19,359.089,0.80669,0.64852,1.23595,0.95866,0.97498,0.98559,0.82795,0.66731,0.40271,1.02776,0.000924352,0.000924352,0.000924352
20,378,0.81107,0.66258,1.24019,0.9659,0.9685,0.98257,0.78897,0.79748,0.43473,1.08218,0.000883093,0.000883093,0.000883093
21,396.95,0.78948,0.63069,1.22871,0.97179,0.98527,0.98787,0.83584,0.67739,0.38166,1.02631,0.000841835,0.000841835,0.000841835
22,416.136,0.76854,0.59803,1.20434,0.96492,0.97048,0.98665,0.8198,0.69354,0.40534,1.05802,0.000800577,0.000800577,0.000800577
23,434.764,0.76169,0.60754,1.20125,0.96951,0.97589,0.98789,0.83852,0.63567,0.38369,1.0113,0.000759318,0.000759318,0.000759318
24,453.458,0.72974,0.55974,1.18019,0.95555,0.97833,0.98843,0.83536,0.64873,0.38705,1.00805,0.00071806,0.00071806,0.00071806
25,472.492,0.74456,0.57998,1.18995,0.97812,0.97906,0.99116,0.83925,0.6481,0.36231,1.00638,0.000676802,0.000676802,0.000676802
26,491.365,0.7238,0.56075,1.17916,0.97794,0.97712,0.99053,0.82211,0.71957,0.3608,1.03961,0.000635544,0.000635544,0.000635544
27,510.065,0.71794,0.55507,1.16714,0.98204,0.9728,0.9897,0.85957,0.60685,0.35443,0.96961,0.000594286,0.000594286,0.000594286
28,528.75,0.69357,0.53569,1.15829,0.98159,0.97986,0.99283,0.85572,0.61948,0.34476,0.98371,0.000553027,0.000553027,0.000553027
29,547.481,0.6934,0.52997,1.15318,0.98031,0.97849,0.98739,0.85011,0.61724,0.35064,0.97337,0.000511769,0.000511769,0.000511769
30,566.078,0.67355,0.51384,1.1383,0.98064,0.98782,0.98951,0.86709,0.57451,0.31935,0.95704,0.000470511,0.000470511,0.000470511
31,585.498,0.47914,0.28621,0.97381,0.97787,0.98136,0.99029,0.86892,0.59337,0.31647,0.94246,0.000429253,0.000429253,0.000429253
32,604.365,0.45622,0.26941,0.96117,0.98995,0.98406,0.9916,0.87561,0.56738,0.30995,0.94945,0.000387994,0.000387994,0.000387994
33,622.938,0.43816,0.25598,0.94798,0.98344,0.9805,0.99069,0.89294,0.53835,0.31161,0.9228,0.000346736,0.000346736,0.000346736
34,641.599,0.41747,0.2491,0.94413,0.98938,0.98656,0.99216,0.89206,0.53545,0.29334,0.91878,0.000305478,0.000305478,0.000305478
35,660.085,0.41064,0.23925,0.93037,0.98223,0.98832,0.99199,0.89813,0.50595,0.28311,0.89387,0.00026422,0.00026422,0.00026422
36,678.681,0.39283,0.22616,0.92652,0.98381,0.97833,0.99182,0.89959,0.51292,0.29234,0.9164,0.000222961,0.000222961,0.000222961
37,697.431,0.37567,0.21759,0.91577,0.98636,0.98502,0.99336,0.90425,0.50021,0.28218,0.91221,0.000181703,0.000181703,0.000181703
38,716.422,0.35646,0.20562,0.90207,0.98783,0.9839,0.99214,0.9082,0.50207,0.27666,0.9017,0.000140445,0.000140445,0.000140445
39,734.966,0.34843,0.20018,0.89668,0.98185,0.98837,0.99217,0.91209,0.49011,0.26809,0.8939,9.91865e-05,9.91865e-05,9.91865e-05
40,753.536,0.34068,0.19909,0.88927,0.985,0.98667,0.99306,0.91316,0.48408,0.26557,0.89024,5.79283e-05,5.79283e-05,5.79283e-05
