epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8478,1.31215,1.84742,1.67643,0.56713,0.59275,0.60337,0.32396,1.66101,2.34709,2.24556,0.000551962,0.000551962,0.000551962
2,40.9826,1.35488,1.42738,1.69718,0.64642,0.62243,0.66751,0.38277,1.56853,1.50162,1.93122,0.00110215,0.00110215,0.00110215
3,60.0841,1.36387,1.40732,1.69769,0.76853,0.68552,0.75494,0.35477,1.90253,1.41509,2.28153,0.00164683,0.00164683,0.00164683
4,78.9327,1.28014,1.31067,1.63248,0.55296,0.71214,0.72321,0.39403,1.40653,1.80442,1.65644,0.00164225,0.00164225,0.00164225
5,97.8322,1.23012,1.19416,1.58202,0.81876,0.78181,0.85457,0.55083,1.23669,0.97155,1.55465,0.00163399,0.00163399,0.00163399
6,116.781,1.1719,1.14834,1.53828,0.86442,0.85228,0.91487,0.59607,1.29336,0.83395,1.56561,0.00162574,0.00162574,0.00162574
7,135.714,1.12147,1.04173,1.47925,0.73598,0.67283,0.74426,0.50144,1.26807,1.3209,1.53844,0.00161749,0.00161749,0.00161749
8,154.559,1.08981,0.9868,1.46469,0.88831,0.8847,0.95153,0.64705,1.18858,0.77005,1.48383,0.00160924,0.00160924,0.00160924
9,173.476,1.06469,0.95333,1.44561,0.89549,0.90059,0.95456,0.67217,1.05031,0.68091,1.39526,0.00160099,0.00160099,0.00160099
10,192.311,1.01411,0.89598,1.40147,0.90604,0.88846,0.95209,0.71591,0.9094,0.67895,1.20845,0.00159274,0.00159274,0.00159274
11,211.172,0.98948,0.88209,1.39444,0.93797,0.92024,0.97115,0.74271,0.88244,0.57027,1.22413,0.00158448,0.00158448,0.00158448
12,230.084,0.9838,0.86991,1.38116,0.89431,0.92663,0.96024,0.69384,1.04477,0.66649,1.33423,0.00157623,0.00157623,0.00157623
13,248.941,0.96688,0.84957,1.37417,0.91219,0.91096,0.95659,0.73767,0.88729,0.58432,1.21686,0.00156798,0.00156798,0.00156798
14,267.776,0.94601,0.79852,1.34818,0.93983,0.94406,0.9796,0.74047,0.94217,0.5273,1.24746,0.00155973,0.00155973,0.00155973
15,286.634,0.91066,0.77822,1.3214,0.94255,0.93893,0.9806,0.78045,0.81793,0.49726,1.1598,0.00155148,0.00155148,0.00155148
16,305.681,0.92173,0.77746,1.32744,0.9378,0.94575,0.97335,0.76177,0.8527,0.52236,1.17356,0.00154323,0.00154323,0.00154323
17,324.583,0.90719,0.76971,1.31334,0.96374,0.95611,0.98645,0.77568,0.81984,0.49549,1.15645,0.00153497,0.00153497,0.00153497
18,343.467,0.87301,0.7487,1.29381,0.93064,0.93459,0.97482,0.77814,0.79176,0.51843,1.1566,0.00152672,0.00152672,0.00152672
